cell-type	jsd_median	jsd_lower	jsd_upper	corr_median	corr_lower	corr_upper	cell_class	neuron_type	n.umi	ele_gini	bri_gini	elegans_genes_detected_0.05	elegans_genes_detected_0.10	elegans_genes_maybe_0.05	elegans_genes_maybe_0.10	elegans_genes_ci_detected	elegans_cell_count	briggsae_genes_detected_0.05	briggsae_genes_detected_0.10	briggsae_genes_maybe_0.05	briggsae_genes_maybe_0.10	briggsae_genes_ci_detected	briggsae_cell_count	both_genes_detected_0.05	both_genes_maybe_0.05	both_genes_ci_detected	either_genes_detected_0.05	either_genes_maybe_0.05	either_genes_ci_detected	btwn_species_deg	deg_over_expressed_0.05	deg_over_expressed_0.10	deg_over_expressed_boot	num_elegans_markers	num_briggsae_markers	num_shared_markers	num_markers_in_either_with_species_specific_included	num_elegans_markers_just_common_genes	num_briggsae_markers_ust_common_genes	num_elegans_markers_just_private_genes	num_bri_markers_just_private_genes	num_either_markers_just_common_genes
ADL	ADL	0.461905155543039	0.455448430244908	0.468356884574453	0.767289787326336	0.762609031318616	0.771892673142838	Ciliated neurons	SN5	1439.08924587238	0.865920291179464	0.878905102448925	3998	2418	4954	3023	10901	1557	3047	1541	4581	2396	8703	684	2057	3109	6825	4214	5314	9362	931	0.305546439120446	0.604153147306944	0.106974606457543	615	328	189	754	514	261	101	67	586
ADF	ADF	0.462244701202518	0.456255208468065	0.468979666019369	0.713737886203462	0.706333065860426	0.720493557097599	Ciliated neurons	SN6	1037.52851182197	0.884692227612959	0.896000665604106	2585	1470	4310	2368	7422	427	1946	941	4471	1946	6302	292	1204	2760	4718	2855	5015	7232	707	0.363309352517986	0.751328374070138	0.112186607426214	609	425	231	803	520	341	89	84	630
ASJ	ASJ	0.462491135135822	0.455598037519111	0.469476183953732	0.759503725631684	0.754446023876655	0.764079700682336	Ciliated neurons	SN6	1289.57787481805	0.868023782755699	0.876099015522414	3682	2136	4578	2722	10532	1528	2744	1341	4656	2313	8159	533	1811	2957	6507	3918	5210	9129	918	0.334548104956268	0.684563758389262	0.112513788454467	583	337	177	743	484	269	99	68	576
Posterior_arcade_cell	Posterior_arcade_cell	0.462825553111417	0.456566679033118	0.469224115451503	0.740031868570135	0.734079316132716	0.74587910144733	Pharynx	NA	1093.17134502924	0.924564603207386	0.929476359381624	1874	987	2590	1319	9300	1256	1473	614	3052	1224	6909	454	911	1653	5686	2159	3538	8434	501	0.340122199592668	0.815960912052117	0.0725141120277898	367	249	144	472	329	223	38	26	408
AWC	AWC	0.463245664363301	0.457441791397559	0.469243771746325	0.739752846826193	0.733765009894108	0.745299531437663	Ciliated neurons	SN6	1060.39160839161	0.873184800499075	0.884762969187477	2942	1663	4174	2347	8942	835	2142	1037	4561	2142	6620	309	1399	2793	5399	3211	5012	8117	759	0.354341736694678	0.73191899710704	0.114652567975831	583	412	231	764	520	346	63	66	635
RIM	RIM	0.469045551873288	0.461947787543347	0.476433849977282	0.738650529354918	0.731269315348966	0.745950947396513	Non-ciliated neurons	IN1	952.952996474736	0.885071322264366	0.885168142788416	2435	1366	3855	2022	7653	554	2099	981	4382	2099	6411	297	1258	2645	5088	2934	4859	7391	763	0.363506431634112	0.777777777777778	0.119014194353455	465	293	177	581	436	267	29	26	526
AMso	AMso	0.469179032915128	0.457949780444948	0.482721089533734	0.700769288973288	0.691918069844098	0.709345161958382	Glia and excretory	NA	1200.56088560886	0.93210800395434	0.922344800758992	1772	980	2883	1455	7346	600	1741	770	4959	2038	5575	213	956	2182	4341	2296	4953	7135	582	0.334290637564618	0.755844155844156	0.104394618834081	393	321	203	511	365	304	28	17	466
RIH	RIH	0.470956692249909	0.464521832685885	0.478108250030323	0.740781526970505	0.733949020013484	0.746960944324712	Non-ciliated neurons	IN4	934.94294770206	0.877547106946395	0.886633323838851	2655	1456	4671	2496	6866	359	1966	896	4171	1966	5836	272	1332	3017	4555	2908	4960	6677	557	0.283316378433367	0.621651785714286	0.0954420836189171	335	208	108	435	310	183	25	25	385
ILsh_OLLsh_OLQsh	ILsh_OLLsh_OLQsh	0.471135681822938	0.462607027176689	0.481077180132529	0.706277872012108	0.696754160353962	0.714769031101299	Glia and excretory	NA	889.030346820809	0.897529806293733	0.899713656262975	1839	942	3443	1547	7311	484	2001	813	4985	2162	5557	208	1033	2556	4412	2499	5045	6973	517	0.281131049483415	0.635916359163592	0.0930358106892208	324	193	114	403	300	172	24	21	358
ALM_BDU	ALM_BDU	0.471544871651334	0.471696262282647	0.480446761297031	0.781989114117147	0.782109244026062	0.788728313990206	Non-ciliated neurons	NA	997.447889750215	0.890704991262623	0.904094869087544	2733	1434	4218	2239	7343	576	2291	1151	3676	1856	6843	585	1494	2632	5298	3117	4541	7125	752	0.328240942819729	0.653344917463076	0.109893321642554	178	105	40	243	159	89	19	16	208
B_F_K_Kp_U_Y	B_F_K_Kp_U_Y	0.471636457103305	0.456430410822974	0.4875273579292	0.764957296559069	0.757315742218169	0.771751047974649	Rectal cells	NA	3136.51398384089	0.905692205761738	0.889442355147366	4342	2597	5588	3367	11256	1246	3991	2226	6333	3762	8791	363	2722	4187	7234	4933	6535	9771	694	0.17389125532448	0.311769991015274	0.0789443749289046	343	301	148	496	311	273	32	28	436
ILso	ILso	0.472436698140702	0.458875590068478	0.48921012023164	0.731322349933815	0.722930948528909	0.738866875779729	Glia and excretory	NA	1059.67361111111	0.912897734471017	0.908674916744985	1959	989	3121	1498	8341	733	1844	782	4347	1973	6303	275	1113	2243	5135	2405	4531	7712	532	0.288503253796095	0.680306905370844	0.084404251943519	374	271	161	484	344	246	30	25	429
IL1	IL1	0.475177086338559	0.475305675690544	0.486446070417428	0.708923879663092	0.709017264051081	0.7181464361063	Ciliated neurons	SN1	864.37216828479	0.878644618461976	0.893878899817764	2249	1281	3466	1825	8256	675	1851	838	4206	1970	5697	252	1124	2363	4632	2645	4607	7678	733	0.396002160994057	0.874701670644391	0.12866420923293	498	303	192	609	462	270	36	33	540
mu_sph	mu_sph	0.475388561174313	0.469181655147718	0.48226854510172	0.699414385891401	0.690958353258153	0.706670050163154	Muscle and mesoderm	NA	1059.74332909784	0.931781678715879	0.926509654448864	1854	1063	3006	1524	6610	594	1378	721	3911	1775	4505	193	851	2026	3593	2151	4292	6422	594	0.431059506531205	0.823855755894591	0.131853496115427	296	260	123	433	273	227	23	33	377
DVA	DVA	0.475543065213732	0.467462880975463	0.483927393301654	0.727882685163778	0.719815773192993	0.735123674731869	Non-ciliated neurons	SN3	981.578181818182	0.887404629735556	0.9038743630108	2448	1419	4435	2448	6327	310	1946	875	4655	2073	5644	240	1227	3034	4230	2862	5238	6509	649	0.333504624871531	0.741714285714286	0.114989369241673	461	273	170	564	434	250	27	23	514
AVA	AVA	0.479790898728176	0.468338255952843	0.492723787704039	0.705886429516565	0.695243920816527	0.714907481725283	Non-ciliated neurons	IN1	915.193043478261	0.885087309085975	0.892045185007419	2314	1274	4067	2124	6927	404	1763	781	4860	2131	4845	171	1128	2900	3913	2624	5167	6591	486	0.275666477595009	0.622279129321383	0.10030959752322	430	237	141	526	399	214	31	23	472
ASI	ASI	0.480829792039869	0.475271419240025	0.486954803826287	0.734226139143049	0.728434667410332	0.739680678781919	Ciliated neurons	SN6	1010.21514629948	0.876086008136554	0.894844219175411	2905	1617	4107	2294	8640	825	2021	933	4167	1833	6499	337	1231	2552	5132	3149	4744	7825	825	0.408213755566551	0.884244372990354	0.126942606554855	569	410	177	802	472	293	97	117	588
RMD	RMD	0.482423991070431	0.473871551041887	0.491363088710405	0.713285276378427	0.704140458578319	0.72198324804588	Non-ciliated neurons	head_motor_neurons	973.206561360875	0.883758354864085	0.887966648642987	2380	1344	3724	1970	8086	653	2005	929	5211	2449	5192	170	1236	2779	4359	2825	5309	7433	659	0.328678304239401	0.709364908503768	0.126926040061633	428	238	149	517	400	218	28	20	469
AWB	AWB	0.482464139633074	0.474158237950361	0.491602399803386	0.684154736874179	0.673539472242804	0.693698783367555	Ciliated neurons	SN6	918.317580340265	0.876254636940075	0.892712591347617	2349	1257	4172	2131	7084	371	1888	815	5585	2275	4771	158	1154	3068	3757	2689	5616	6743	499	0.264300847457627	0.612269938650307	0.104590232655628	473	328	186	615	419	273	54	55	506
ASG	ASG	0.484812715615379	0.477704204065275	0.492568507382756	0.700556278924942	0.692249552332788	0.709092219084381	Ciliated neurons	SN6	973.25993883792	0.878939819294374	0.895919757698266	2571	1430	4328	2296	7456	432	1844	811	4245	1953	5364	222	1148	2714	4208	2836	4955	7050	619	0.335683297180043	0.763255240443896	0.115398956002983	523	368	206	685	455	302	68	66	551
AVE	AVE	0.484909226598791	0.475954736839824	0.494893693620181	0.718153898163379	0.70926033176269	0.726385016552869	Non-ciliated neurons	IN1	876.05728314239	0.881051545100718	0.896186743940689	2373	1323	4108	2180	6930	400	1644	755	4457	1928	5015	211	1070	2804	4042	2619	4961	6595	558	0.339416058394161	0.739072847682119	0.111266201395813	346	170	96	420	319	152	27	18	375
DA_DB	DA_DB	0.486583536318031	0.478626474055445	0.494792055242431	0.715021329453971	0.707155068433637	0.722513845939	Non-ciliated neurons	NA	964.493922651934	0.905425203312006	0.89969367827598	2123	1224	3128	1721	7785	734	1809	830	4920	2183	4893	171	1139	2362	4076	2512	4930	7202	587	0.32448866777225	0.707228915662651	0.119967300224811	517	350	238	629	483	325	34	25	570
CEPsh	CEPsh	0.486979500632514	0.479388571296008	0.494863546912609	0.714842677589774	0.705447520209865	0.724159093733095	Glia and excretory	NA	903.648447204969	0.895303311934526	0.903099169679763	1876	944	3392	1551	7597	538	1817	772	4472	1817	5982	267	1030	2393	4721	2386	4721	7221	530	0.291689598238855	0.686528497409326	0.0885991307255099	312	194	123	383	288	179	24	15	344
Arcade_cell	Arcade_cell	0.487791871933927	0.466278751986295	0.513208675775892	0.657510650934091	0.634587478712323	0.678637380744537	Pharynx	NA	13135.0494505494	0.947775993419441	0.929340936241829	3582	2114	6442	3712	8757	277	5305	2762	13141	8721	8708	87	2539	5517	6313	5512	10533	8987	370	0.103294249022892	0.175023651844844	0.0424896646761599	354	293	163	484	314	253	40	40	404
AVL	AVL	0.487870582015699	0.477078944802529	0.50031427670713	0.724409045416307	0.715369062467537	0.732266167119544	Non-ciliated neurons	IN2	1138.68884892086	0.885894414468112	0.890430169190722	2790	1628	4862	2694	7080	358	2091	1026	4865	2394	5422	198	1398	3291	4348	3098	5493	6787	606	0.289813486370158	0.590643274853801	0.111766875691627	379	277	146	510	362	253	17	24	469
PVR	PVR	0.488040858398445	0.476724783529839	0.499964531575267	0.745624377151942	0.737702678874483	0.753411021421895	Non-ciliated neurons	IN3	1074.11397058824	0.879106627239935	0.895547287733734	3047	1603	5218	2930	6733	320	2265	1067	4617	2420	5484	224	1521	3417	4331	3310	5387	6432	646	0.285209713024283	0.60543580131209	0.117797228300511	225	96	33	288	191	76	34	20	234
g2	g2	0.490834881622844	0.478408556677514	0.505366774062774	0.628121901357739	0.609964001360413	0.64578403766448	Pharynx	NA	1106.04166666667	0.888030407386395	0.927720517119951	1889	902	7217	2759	4901	134	1447	603	7372	2751	3354	106	867	4972	2447	2189	7738	5021	114	0.0787836903939185	0.189054726368159	0.0339892665474061	171	154	71	254	153	135	18	19	217
CEP	CEP	0.491019718211733	0.482373813326137	0.500391096734827	0.716942630212517	0.708858726102205	0.72497978496917	Ciliated neurons	SN1	910.40676416819	0.887035779123153	0.893518864214911	2231	1231	3273	1719	8605	863	1952	912	4691	2071	5746	231	1135	2360	4765	2719	4840	7854	785	0.402151639344262	0.860745614035088	0.13661677688827	427	269	163	533	390	242	37	27	469
pm8	pm8	0.492055692861198	0.475841609276465	0.511236577312717	0.640164503615644	0.616934394878122	0.657971114104506	Pharynx	NA	1481.51041666667	0.910916277533147	0.915867534646054	2400	1343	20222	6808	3005	45	2226	1042	22401	4644	2765	51	1343	12803	1738	2948	12803	3575	48	0.0215633423180593	0.0460652591170825	0.0173598553345389	243	242	124	361	225	227	18	15	328
AIY	AIY	0.492587398493449	0.484307813557416	0.501765768374903	0.719658499766552	0.7119510911366	0.727049024071793	Non-ciliated neurons	IN3	1033.58907103825	0.885066850124076	0.890165795155553	2565	1464	3932	2135	8186	639	1892	868	4195	1979	6050	276	1183	2506	4913	2938	4893	7698	718	0.379492600422833	0.827188940092166	0.118677685950413	388	267	142	513	366	240	22	27	464
RIA	RIA	0.492612237078141	0.483503338844883	0.501908302187531	0.709914314661751	0.69996839390492	0.718995404592651	Non-ciliated neurons	IN2	1304.63967611336	0.881317210319821	0.89462500791501	3197	1871	4730	2762	8240	532	1880	897	4893	2174	5501	209	1321	3146	4585	3358	5596	7610	698	0.371276595744681	0.778149386845039	0.126886020723505	506	264	169	601	477	240	29	24	548
SMB	SMB	0.493617187993594	0.493791334441495	0.505060036847053	0.702457811325515	0.702614332643812	0.713325823978625	Non-ciliated neurons	sublateral_motor_neurons	854.446457990115	0.881786890932062	0.895094845554013	2277	1230	3836	1981	7048	454	1782	789	5311	2418	4525	153	1099	2842	3691	2635	5369	6628	485	0.272166105499439	0.614702154626109	0.107182320441989	374	152	99	427	349	132	25	20	382
RME	RME	0.496514351596459	0.487265050723691	0.506772895125901	0.684475233570903	0.675670050911853	0.692923484917312	Non-ciliated neurons	head_motor_neurons	1065.00744416873	0.884199169485555	0.897680453814246	2578	1437	4035	2097	8339	632	2003	908	5067	2379	5039	174	1222	2763	4192	2997	5462	7671	712	0.3554667998003	0.784140969162996	0.14129787656281	417	239	129	527	394	221	23	18	486
AVB	AVB	0.496891028234643	0.487419695685717	0.507007204249229	0.718766260207164	0.709796409822125	0.726830210658928	Non-ciliated neurons	IN1	907.268322981367	0.889544657877423	0.889238659538478	2253	1312	3499	1919	7599	616	1859	827	5121	2227	5092	189	1135	2628	4190	2672	5158	7125	680	0.36578805809575	0.822249093107618	0.133542812254517	458	203	136	525	421	186	37	17	471
AFD	AFD	0.496907014402734	0.491270884517865	0.502591333052465	0.740653520422914	0.733978374450984	0.746345590587971	Ciliated neurons	SN6	1117.26998223801	0.876201482384886	0.884120565103331	2896	1582	4391	2381	8778	647	2499	1178	4440	2138	7886	479	1525	2838	6010	3334	5056	8279	775	0.310124049619848	0.657894736842105	0.0982754248034492	534	378	186	726	463	309	71	69	586
RIV	RIV	0.497840384807076	0.486531020196591	0.51027387286604	0.685135694693849	0.674081632012332	0.694335908655464	Non-ciliated neurons	head_motor_neurons	1201.85344827586	0.890741823128565	0.898086324554015	2742	1594	4988	2742	6746	295	1972	973	5002	2556	4993	169	1271	3256	3892	3076	5769	6657	625	0.316937119675456	0.642343268242549	0.125175245343481	516	300	171	645	488	267	28	33	584
AVG	AVG	0.502632384638335	0.492407413619134	0.513221306962602	0.728684888079363	0.719791034256044	0.737747553200474	Non-ciliated neurons	IN3	1803.54530477759	0.888660537229271	0.893929254291152	3435	2088	5186	3122	7722	417	3850	2255	6800	4249	6787	190	2278	4072	5228	4360	6577	7548	975	0.283842794759825	0.466954022988506	0.14365699130691	538	388	194	732	493	346	45	42	645
ASK	ASK	0.5028830514063	0.493821854443629	0.512392886980922	0.691115730837983	0.682787546757225	0.699019451784849	Ciliated neurons	SN6	1043.01853759011	0.881094695453839	0.892076090180581	2839	1592	3969	2265	8528	798	1881	850	4997	2237	4988	173	1169	2693	4140	3055	5223	7553	789	0.419457735247209	0.928235294117647	0.158179631114675	679	351	196	834	583	279	96	72	666
ADE	ADE	0.503029095796533	0.4926610662052	0.514406529385172	0.702962167184253	0.692132183414978	0.713242630630456	Ciliated neurons	SN3	1023.37614678899	0.88245452093679	0.897356462047355	2584	1402	4479	2363	7288	414	1951	932	6305	3021	4493	131	1269	3498	3758	2894	6078	6720	503	0.25781650435674	0.539699570815451	0.111951925217004	352	170	106	416	317	152	35	18	363
CAN	CAN	0.504188689990664	0.50425007543348	0.509633801270581	0.744353725645423	0.744412526643793	0.751594374048919	Non-ciliated neurons	NA	1170.87663107948	0.898397609836934	0.90836628328293	2557	1395	3570	1901	9727	1140	2008	916	3687	1657	7611	546	1270	2246	6193	2926	4368	8742	668	0.332669322709163	0.729257641921397	0.0877677046380239	310	171	70	411	272	153	38	18	355
SIB	SIB	0.505740923203673	0.496919743115693	0.516153855287785	0.671154218911978	0.659086379367764	0.682369858242343	Non-ciliated neurons	sublateral_motor_neurons	813.914563106796	0.881928894663133	0.896611020316413	2178	1145	3682	1899	6808	423	1564	742	7424	3211	3200	92	1001	3048	2722	2441	6679	6259	294	0.187979539641944	0.39622641509434	0.091875	367	199	115	451	346	177	21	22	408
mu_int_mu_anal_related	mu_int_mu_anal_related	0.50652853450378	0.499074625745137	0.514905924224377	0.625977644431289	0.613645625875399	0.637617890061306	Muscle and mesoderm	NA	1056.5775862069	0.926475676815471	0.937447944855421	1815	1048	3668	1815	4957	257	1456	717	7090	2884	2870	91	858	2886	2127	2145	6594	4968	382	0.262362637362637	0.532775453277545	0.133101045296167	306	280	127	459	285	249	21	31	407
Tail_hypodermis	Tail_hypodermis	0.507351087666223	0.499254042996436	0.515803798639792	0.790285274147116	0.78596124380958	0.794288318730908	Hypodermis and seam	NA	2191.79739978332	0.901605475510109	0.889666173838123	4018	2296	4870	2805	11327	2351	3794	2080	4840	2736	10275	1341	2569	3378	7874	4585	5438	9913	726	0.191354770690564	0.349038461538462	0.0706569343065693	394	293	141	546	364	275	30	18	498
SMD	SMD	0.507416888208251	0.496857273301622	0.518438204198954	0.672915896789816	0.659427342093376	0.685299974459612	Non-ciliated neurons	sublateral_motor_neurons	880.042654028436	0.885964469553755	0.892802241336994	2004	1129	3826	1923	6206	326	1976	935	8020	3168	3797	96	1091	3258	3041	2595	7085	5996	385	0.194838056680162	0.411764705882353	0.101395838820121	393	261	136	518	367	227	26	34	458
RID	RID	0.510831609859812	0.511049433787868	0.531025882534388	0.7091299496474	0.709377975009597	0.721492753174089	Non-ciliated neurons	IN1	1019.25149700599	0.887612295125564	0.893162672958624	2640	1447	4734	2640	6581	299	2150	997	4758	2475	5245	202	1330	3197	4127	3071	5341	6409	612	0.284651162790698	0.613841524573721	0.116682554814109	285	112	52	345	259	99	26	13	306
AIM	AIM	0.511389518965321	0.501723825286665	0.521506450038516	0.674600219559049	0.663388663521054	0.685676282511164	Non-ciliated neurons	IN4	805.739659367397	0.889891156391059	0.89541022727758	1952	1089	3955	1952	5697	278	1636	733	6027	2318	4157	133	943	3063	3147	2355	5867	5739	410	0.250611246943765	0.559345156889495	0.0986288188597546	365	178	108	435	342	160	23	18	394
PVQ_and_possibly_PVC	PVQ_and_possibly_PVC	0.511889357717687	0.505042740608813	0.519024105777347	0.68202536956675	0.671542459905027	0.691367285612706	Non-ciliated neurons	IN3	880.289617486339	0.889179345286266	0.901039759687592	2274	1309	4123	2198	6320	342	1724	764	4379	1849	4933	207	1037	2669	3729	2657	5061	6385	685	0.397331786542923	0.896596858638743	0.138860733833367	472	265	146	591	441	236	31	29	531
RMG	RMG	0.514613380163943	0.504459074376959	0.527349744352301	0.66360949072905	0.65327940846412	0.673932719762509	Non-ciliated neurons	IN2	970.02140077821	0.895482337273961	0.90429823605416	2285	1308	3936	2106	6539	382	1579	753	6222	2678	4201	132	961	3025	3308	2615	6087	6364	579	0.366687777074098	0.768924302788845	0.137824327541062	413	231	120	524	386	209	27	22	475
RIB	RIB	0.516192325868486	0.505761041293889	0.527884111280077	0.661896160727071	0.651687318913685	0.672115033513756	Non-ciliated neurons	IN2	834.194373401535	0.883446191250869	0.898938407125115	2144	1199	4323	2267	5760	249	1665	746	4941	2391	4177	142	986	2956	3168	2524	5401	5792	448	0.269069069069069	0.600536193029491	0.107254010055063	451	214	126	539	419	194	32	20	487
hmc	hmc	0.519432112676139	0.514564447627438	0.524414350906798	0.712786215179069	0.706462620896221	0.718933327936362	Muscle and mesoderm	NA	1167.2956937799	0.914447563480167	0.908649986624141	2529	1508	3692	2067	7793	715	1837	954	3795	1760	6169	330	1155	2289	4853	2830	4494	7397	762	0.414806750136091	0.79874213836478	0.123520829956233	368	321	119	570	325	282	43	39	488
SIA	SIA	0.519848240105377	0.51201138947533	0.527868300006988	0.697395569480322	0.688454524055248	0.70542580797845	Non-ciliated neurons	sublateral_motor_neurons	869.254658385093	0.89198490896149	0.902514889721147	2198	1222	3428	1837	7395	626	1591	720	4740	2069	4729	179	990	2465	3906	2513	4940	6934	626	0.393463230672533	0.869444444444444	0.132374709240854	433	182	103	512	403	162	30	20	462
Excretory_gland	Excretory_gland	0.519902965545051	0.508571579514608	0.533533073027925	0.660812034110003	0.640184242866759	0.675473263413679	Rectal cells	NA	1055.8177014531	0.880597378370567	0.893308602240268	2752	1413	4234	2149	7964	676	1793	703	8309	3432	3418	81	1092	3502	2953	3084	7398	7115	414	0.230897936419409	0.588904694167852	0.121123464014043	347	153	51	449	311	122	36	31	382
AIB	AIB	0.520126238594971	0.509443615598515	0.534669308188177	0.651864223387441	0.638140249554325	0.664031626776413	Non-ciliated neurons	IN2	926.155393053016	0.892461398931005	0.900714740910189	2195	1265	3780	1911	6964	462	1698	667	7375	3142	3133	85	987	3069	2604	2614	6678	6459	399	0.234982332155477	0.598200899550225	0.127353973827003	412	210	132	490	395	186	17	24	449
ALA	ALA	0.522219936865437	0.509644332107326	0.536400979987266	0.686036816873198	0.675041388847528	0.695474589756687	Non-ciliated neurons	IN3	1068.77557755776	0.892124602758145	0.903597312097645	2538	1429	4087	2196	7278	473	1620	748	5980	2312	4113	133	1055	3090	3448	2773	5926	6734	520	0.320987654320988	0.695187165775401	0.12642839776319	392	176	101	467	369	156	23	20	424
DD	DD	0.522719095074957	0.509891324751433	0.536404875578153	0.678528234389935	0.668699934963283	0.687415872486197	Non-ciliated neurons	NA	894.598529411765	0.904678279776363	0.907737086642328	1966	1096	3251	1695	7033	508	1599	712	4541	1942	4522	172	969	2332	3633	2324	4748	6714	561	0.350844277673546	0.787921348314607	0.12406015037594	409	231	130	510	385	208	24	23	463
ADEsh	ADEsh	0.523427983128055	0.505743345322323	0.546019964481646	0.609190956747862	0.586826928040026	0.628606514165531	Glia and excretory	NA	1077.62396694215	0.911536358546527	0.909698387974458	1610	799	4722	1878	4708	189	2109	801	22401	4925	2715	53	989	4284	2019	2459	12803	4736	176	0.109316770186335	0.220275344180225	0.0648250460405157	315	173	118	370	297	166	18	7	345
hyp1V_and_ant_arc_V	hyp1V_and_ant_arc_V	0.526498268360552	0.512539337915729	0.541406535076608	0.661012763874762	0.648059073355531	0.673560335161579	Hypodermis and seam	NA	1183.65635738832	0.9156732788407	0.921910372957541	2022	1070	4925	2549	4898	165	1789	863	6089	2607	4155	126	1068	3606	2890	2459	6196	5258	331	0.185019564002236	0.383545770567787	0.0796630565583634	430	321	196	555	392	298	38	23	494
PVP	PVP	0.528082899500689	0.515425769436247	0.544422154780544	0.659508467598846	0.644856366322614	0.671455104467602	Non-ciliated neurons	IN3	860.022869022869	0.878473273805184	0.89879765770479	2207	1179	4055	2077	6811	381	1718	683	7523	2833	3431	100	1025	3322	2846	2572	6815	6351	349	0.20314318975553	0.510980966325037	0.101719615272515	359	126	71	414	330	108	29	18	367
RIG	RIG	0.532776576530196	0.517563160804136	0.549079573878745	0.69923069514763	0.688273964875795	0.710076267683522	Non-ciliated neurons	IN2	995.424175824176	0.885389601774705	0.891306593940953	2649	1473	4624	2551	6483	302	1995	945	5462	2664	4696	153	1285	3354	3743	2987	5671	6230	642	0.321804511278195	0.679365079365079	0.136712095400341	480	198	104	574	452	174	28	24	522
hmc_homolog	hmc_homolog	0.535287109425071	0.535423478982563	0.540617857065102	0.692328649351378	0.692399971295146	0.699380660911324	Muscle and mesoderm	NA	1124.53791130186	0.912274795239455	0.912158392681818	2369	1382	3913	2085	7027	463	1740	890	4223	1852	5265	236	1074	2524	4102	2673	4792	6778	667	0.383333333333333	0.749438202247191	0.126685660018993	315	278	89	504	281	236	34	42	428
Excretory_duct_and_pore	Excretory_duct_and_pore	0.535420459841301	0.505308795204996	0.568853569452707	0.650685772097195	0.636903851708959	0.662175006174886	Rectal cells	NA	1380.09192825112	0.930511072560876	0.914119537664874	1935	1104	3571	1823	6294	352	2076	1012	8372	3367	4042	94	1082	2972	3097	2621	7410	6215	523	0.270284237726098	0.516798418972332	0.129391390400792	383	328	148	563	351	303	32	25	506
hyp1V	hyp1V	0.555891886140832	0.541398657243836	0.573047801238678	0.61074883726205	0.597952472194145	0.622168945474792	Hypodermis and seam	NA	1304.94503546099	0.949955363694755	0.94263145277182	1541	812	2684	1320	6027	456	1345	583	5563	2236	3352	108	673	2020	2549	1984	5386	5886	459	0.341263940520446	0.787307032590051	0.136933174224344	361	333	141	553	330	303	31	30	492
AIN	AIN	0.560032265744985	0.549170509030093	0.573352849372722	0.620455814277575	0.605792528139697	0.633906488916734	Non-ciliated neurons	IN4	842.710970464135	0.884623825358403	0.906186073628874	2144	1215	3706	1961	6557	399	1461	641	6884	3492	2687	75	852	2911	2245	2469	6395	6066	359	0.245722108145106	0.5600624024961	0.133606252326014	460	162	94	528	424	145	36	17	475
AVJ	AVJ	0.562841342287267	0.549238329664092	0.581370013005244	0.588733659763028	0.565972005454644	0.605337682069214	Non-ciliated neurons	IN2	918.054187192118	0.888301919715559	0.906501151462976	2162	1204	3897	2084	6439	357	1338	639	22401	6077	1799	49	808	3597	1511	2430	12803	5932	205	0.15321375186846	0.320813771517997	0.113952195664258	483	201	112	572	447	180	36	21	515
I5	I5	0.574149583972906	0.557775217570402	0.594335348790152	0.567445410951807	0.547771174516567	0.583108863099398	Non-ciliated neurons	NA	883.553846153846	0.893382952892466	0.907252769135766	2009	919	7505	3376	3365	81	1319	632	22401	6037	1759	49	824	6506	1254	2227	12803	3423	62	0.0470053070507961	0.0981012658227848	0.0352472996020466	258	161	74	345	228	151	30	10	305
PVT	PVT	0.578361772916441	0.57893636902889	0.609373826914032	0.579820232688867	0.580414311150906	0.607928851576375	Non-ciliated neurons	IN2	1563.95751633987	0.897222335964102	0.931201761056968	3038	1868	5095	3038	6659	283	1995	949	22401	22401	1359	23	1266	4649	1175	3361	12803	6046	212	0.106265664160401	0.223393045310854	0.155997056659308	540	324	178	686	501	292	39	32	615
AVH	AVH	0.579878641373838	0.568412644247112	0.59310122737664	0.605642772496505	0.588991203758386	0.619970692507777	Non-ciliated neurons	IN3	859.658018867925	0.890617621004253	0.90535804905187	2007	1046	3747	1859	6413	355	1636	644	22401	3350	2592	69	887	3430	2124	2459	12803	5980	307	0.187652811735941	0.476708074534161	0.118441358024691	362	120	62	420	335	104	27	16	377
AVD	AVD	0.587678751123528	0.571772111393512	0.607112145048289	0.570620334488722	0.548504453072306	0.590872756642099	Non-ciliated neurons	IN2	836.569230769231	0.896373711114961	0.910429988509122	1891	987	4006	2005	5033	222	1594	686	22401	5623	1592	38	853	3680	1282	2343	12803	4726	192	0.120451693851945	0.279883381924198	0.120603015075377	373	120	68	425	345	102	28	18	379
AIZ	AIZ	0.600542459194506	0.581607909872244	0.625351372480978	0.546562035080287	0.516923337147872	0.567980063276544	Non-ciliated neurons	IN3	808.783625730994	0.896112560296956	0.920029303441311	2031	1133	3662	1960	5554	305	1181	475	22401	5198	1179	37	685	3376	983	2291	12803	5113	174	0.147332768839966	0.366315789473684	0.147582697201018	460	119	79	500	431	108	29	11	460
FLP	FLP	0.609834261938939	0.592323615863704	0.629127758468433	0.52914324939867	0.50253092219352	0.549786515230904	Non-ciliated neurons	SN3	827.970297029703	0.897329601718866	0.922219250764329	2025	1103	4063	2025	5404	270	1109	559	22401	22401	1108	33	660	3722	927	2238	12803	4963	169	0.15238954012624	0.302325581395349	0.152527075812274	449	106	61	494	412	93	37	13	444
